,Gene,ENSG_id
0,PARG,ENSG00000227345
1,HDAC1,ENSG00000116478
2,STK10,ENSG00000072786
3,HUWE1,ENSG00000086758
4,KDM1B,ENSG00000165097
5,SETD1A,ENSG00000099381
6,SETD1B,ENSG00000139718
7,HDAC10,ENSG00000100429
8,USP22,ENSG00000124422
9,MAP3K8,ENSG00000107968
10,PPP4C,ENSG00000149923
11,HDAC6,ENSG00000094631
12,KDM4A,ENSG00000066135
13,WHSC1L1,ENSG00000147548
14,UHRF1,ENSG00000276043
15,KDM2A,ENSG00000173120
16,KDM2B,ENSG00000089094
17,SETDB1,ENSG00000143379
18,SETDB2,ENSG00000136169
19,PRMT8,ENSG00000111218
20,PRMT2,ENSG00000160310
21,PRMT1,ENSG00000126457 
22,PRMT6,ENSG00000198890
23,PRMT7,ENSG00000132600
24,PRMT5,ENSG00000100462
25,SETD8,
26,BAZ1B,ENSG00000009954
27,STK4,ENSG00000101109 
28,MYSM1,ENSG00000162601
29,UBR2,ENSG00000024048
30,SETD2,ENSG00000181555 
31,MYST2,
32,SETD7,ENSG00000145391
33,CDY1B,ENSG00000172352
34,PPP2CA,ENSG00000113575
35,WHSC1,ENSG00000109685
36,PPP2CB,ENSG00000104695
37,KAT5,ENSG00000172977
38,GSK3B,ENSG00000082701
39,RNF8,ENSG00000112130
40,HDAC11,ENSG00000163517 
41,RBX1,ENSG00000100387
42,ELP3,ENSG00000134014
43,KDM5A,ENSG00000073614
44,PAK2,ENSG00000180370
45,KDM5C,ENSG00000126012
46,CARM1,ENSG00000142453
47,KAT2A,ENSG00000108773
48,MLL3,
49,MLL2,
50,MLL5,
51,GTF3C4,ENSG00000125484
52,NEK6,ENSG00000119408
53,PPM1D,ENSG00000170836
54,NEK9,ENSG00000119638
55,SUV39H1,ENSG00000101945
56,JAK2,ENSG00000096968
57,MYST1,
58,MGEA5,ENSG00000198408
59,MYST3,
60,MYST4,
61,SIRT3,ENSG00000142082
62,SIRT2,ENSG00000068903
63,SIRT1,ENSG00000096717
64,SUV39H2,ENSG00000152455
65,BUB1,ENSG00000169679
66,SIRT6,ENSG00000077463
67,BRCC3,ENSG00000185515 
68,CHUK,ENSG00000213341
69,PARP1,ENSG00000143799
70,KDM5D,ENSG00000012817 
71,NCOA1,ENSG00000084676
72,SMYD2,ENSG00000143499
73,SMYD3,ENSG00000185420
74,RNF40,ENSG00000103549
75,SUV420H1,
76,SUV420H2,
77,TLK1,ENSG00000198586
78,RPS6KA5,ENSG00000100784
79,HAT1,ENSG00000128708
80,RNF2,ENSG00000121481
81,HLCS,ENSG00000159267
82,RING1,ENSG00000206287
83,RAG1,ENSG00000166349
84,KDM5B,ENSG00000117139
85,PRDM2,ENSG00000116731
86,NSD1,ENSG00000165671
87,KDM3A,ENSG00000115548
88,PRDM9,ENSG00000164256
89,CREBBP,ENSG00000005339
90,DTX3L,ENSG00000163840
91,KDM1A,ENSG00000004487 
92,HDAC3,ENSG00000171720
93,HDAC2,ENSG00000196591
94,HDAC5,ENSG00000108840
95,HDAC4,ENSG00000068024
96,HDAC7,ENSG00000061273
97,CLOCK,ENSG00000134852
98,HDAC9,ENSG00000048052
99,HDAC8,ENSG00000147099
100,ATM,ENSG00000149311
101,PRKDC,ENSG00000253729
102,ATR,ENSG00000175054
103,C14ORF169,ENSG00000170468
104,EHMT1,ENSG00000181090
105,NCOA3,ENSG00000124151
106,EHMT2,ENSG00000224143
107,JMJD6,ENSG00000070495
108,JMJD5,
109,MASTL,ENSG00000120539
110,KDM6A,ENSG00000147050
111,KDM6B,ENSG00000132510
112,DOT1L,ENSG00000104885
113,DUSP1,ENSG00000120129
114,ASH1L,ENSG00000116539
115,SETMAR,ENSG00000170364
116,GSG2,ENSG00000177602
117,KAT2B,ENSG00000114166 
118,RPS6KA4,ENSG00000162302
119,EP300,ENSG00000100393
120,RNF20,ENSG00000155827
121,NAT10,ENSG00000135372
122,EYA1,ENSG00000104313
123,CDK3,ENSG00000250506
124,CDK5,ENSG00000164885
125,PPP5C,ENSG00000011485
126,JHDM1D,
127,LIMK2,ENSG00000182541
128,USP3,ENSG00000140455
129,EZH1,ENSG00000108799
130,EZH2,ENSG00000106462
131,CDK17,ENSG00000059758
132,KDM4C,ENSG00000107077 
133,KDM4B,ENSG00000127663
134,CDYL,ENSG00000153046 
135,AURKB,ENSG00000178999 
136,KDM4D,ENSG00000186280
137,DAPK3,ENSG00000167657
138,EYA3,ENSG00000158161
139,EYA2,ENSG00000064655
140,PHF8,ENSG00000172943
141,KMT2D,ENSG00000167548
142,PKN1,ENSG00000123143
143,PRKCB,ENSG00000166501
144,PRKCD,ENSG00000163932
145,MLL,
146,CDY1,ENSG00000172288
147,KDM3B,ENSG00000120733
148,USP16,ENSG00000156256
149,PADI4,ENSG00000159339
150,PPP1CC,ENSG00000186298
151,RNF168,ENSG00000163961
